Espèce,Variété,Fournisseur,Délai croissance plants (j),Date en terre,Durée avant récolte (j),Étalement récolte (j),Date réalisation plants,Date début récolte,Date fin récolte,Longueur de rang de cette série (m),Longueur de  rang totale (m),Longueur de  rang par livraison (m),Nombre de rangs retenus,Intra rang (cm),Nombre de pieds,Nb graines par m,Nombre de graines,Nb graines par gramme,Poids par graine (g),Poids de graines (g),lieu,liste_planches
Chou rave,lanro,GERMINANCE,21,01/06/2016,60,15,11/05/2016,31/07/2016,15/08/2016,52,"52,0833333333333","17,3611111111111",0,40,130,#DIV/0 !,#DIV/0 !,300,"0,00333333333333333",#DIV/0 !,CHAMP,
Chou rouge,,,,,,30,-,30/12/1899,29/01/1900,,"88,8888888888889","29,6296296296296","2,4",50,0,"2,22222222222222",0,,#DIV/0 !,#DIV/0 !,CHAMP,
Chou rutabaga,Héléonor,,30,17/11/2016,80,18,18/10/2016,05/02/2017,23/02/2017,362,"88,8888888888889","29,6296296296296","2,4",50,724,"2,22222222222222","804,444444444444",123,"0,00813008130081301","6,54019873532068",CHAMP,
Chou vert,,,,,,30,-,30/12/1899,29/01/1900,,"59,2592592592593","29,6296296296296","2,4",50,0,"2,22222222222222",0,,#DIV/0 !,#DIV/0 !,CHAMP,
Chou vert,,,,,,30,-,30/12/1899,29/01/1900,,"59,2592592592593","29,6296296296296","2,4",50,0,"2,22222222222222",0,,#DIV/0 !,#DIV/0 !,CHAMP,
Ciboule,,,,,,,-,30/12/1899,30/12/1899,,"53,5714285714286","10,7142857142857",0,5,0,0,0,,#DIV/0 !,#DIV/0 !,CHAMP,
Concombre,rollison's telepraph,,21,19/05/2016,124,30,28/04/2016,20/09/2016,20/10/2016,8,14,1,"1,2",50,16,"2,22222222222222","17,7777777777778",30,"0,0333333333333333","0,592592592592592",SERRE,
Concombre,le généreux,,21,20/05/2016,124,30,29/04/2016,21/09/2016,21/10/2016,8,14,1,"1,2",50,16,"2,22222222222222","17,7777777777778",30,"0,0333333333333333","0,592592592592592",SERRE,
Courge,olive,BIAUGERME,29,08/05/2016,119,6,09/04/2016,04/09/2016,10/09/2016,45,"473,484848484849","18,9393939393939","1,2",100,45,"1,11111111111111",50,"6,66666666666667","0,15","7,49999999999999",CHAMP,S6
Courge,butternut,BIAUGERME,30,09/05/2016,120,7,09/04/2016,06/09/2016,13/09/2016,45,"473,484848484849","18,9393939393939","1,2",100,45,"1,11111111111111",50,"6,66666666666667","0,15","7,49999999999999",CHAMP,
Courge,pomme d'or,BIAUGERME,30,10/05/2016,120,7,10/04/2016,07/09/2016,14/09/2016,45,"473,484848484849","18,9393939393939","1,2",100,45,"1,11111111111111",50,"6,66666666666667","0,15","7,49999999999999",CHAMP,
