Fournisseur,Espèce,Variété,Besoin,Gr /graine,Graines/gr,PRIX
BIAUGERME,PERSIL RACINE,DE HAMBOURG,,8G,,
BIAUGERME,PIMENT,DE LA BRESSE,,2G,,"11,65"
VOLTZ,POIREAU,GEANT PRECOCE ZERMALT,,   ,,
VOLTZ,POIREAU,ATLANTA,,10000GN,,"39,8"
,POIREE,BERAC,,50G,,
,POIVRON,LAMUYO NT,,250GN,,
VOLTZ,POIVRON,FIESTA F1,,50GN,,"35,95"
BIAUGERME,POIVRON,DOUX D'Espagne,,2G,,
,POURPIER,D'HIVER,,10G,,
,POURPIER,DORE,,10G,,
VOLTZ,RADIS,GAUDRY 2,,100G,,"18,5"
VOLTZ,RADIS,MISATO RED NT,,50G,,"14,7"
,RADIS ,ROND RAXE,,50GR,,
,RADIS ,CELESTA,,10000GN,,"40,85"
VOLTZ,RADIS ,PERNOT CLAIR RACE TIPO NT,,500G,,19
VOLTZ,RADIS ,OSTERGRUSS ROSA 2,,50G,,"7,15"
,RADIS RAVE,ROSE DHIVER CHINE  NT,,50G,,
,RADIS RAVE,ROSE DE Pâques,,50G,,
,RADIS RAVE,NOIR GROS ROND HIVER,,50G,,
,RADIS RAVE,NOIR LONG POIDS HORLOGE NT,,50G,,
GERMINANCE,RADIS,Pernot clair,,,,
GERMINANCE,RADIS,Flamboyant 3,,,,
BIAUGERME,ROQUETTE,CULTIVEE,,20G,,
VOLTZ,TOMATE,CAURALINA,,100GN,,"28,95"
VOLTZ,TOMATE,MAESTRIA F1,,100GN,,"18,15"
BIAUGERME,TOMATE,ROSE DE BERNE,,2G,,
BIAUGERME,TOMATE,MERVEILLE DES MARCHES,,"0,25G",,
BIAUGERME,TOMATE,GREEN ZEBRA,,"0,25G",,"2,3"
BIAUGERME,TOMATE,SAN MARZANO,,2G,,"5,75"
BIAUGERME,TOMATE,DES ANDES,,2G,,"11,65"
BIAUGERME,TOMATE,BRANDYWINE,,2G,,"5,75"
BIAUGERME,TOMATE,AURIGA,,"0,25G",,
BIAUGERME,TOMATE,SAINT PIERRE,,"0,25G",,
BIAUGERME,TOMATE,MARMANDE,,"0,25G",,
GERMINANCE,CAROTTES,Marché de Paris 3,,,,
GERMINANCE,CAROTTES,Rouge courte hâtive bellot,,,,
LA BONNE GRAINE,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,"1314,15"
