nom,longueur (m),largeur (m),surface (m2),2018_Légume,2018_Remarque
Sud.54,30,"1,2",36,,
Sud.55,30,"1,2",36,,
Sud.56,30,"1,2",36,,
Sud.57,30,"1,2",36,,
Sud.58,30,"1,2",36,,
Sud.59,30,"1,2",36,,
Sud.60,30,"1,2",36,,
Sud.61,30,"1,2",36,,
Sud.62,30,"1,2",36,,
Sud.63,30,"1,2",36,,
Sud.64,30,"1,2",36,,
Sud.65,30,"1,2",36,,
Sud.66,30,"1,2",36,,
Sud.67,30,"1,2",36,,
Sud.68,30,"1,2",36,,
Sud.69,30,"1,2",36,,
Sud.70,30,"1,2",36,,
Sud.71,30,"1,2",36,,
Sud.72,30,"1,2",36,,
Sud.73,30,"1,2",36,,
Sud.74,30,"1,2",36,,
Sud.75,30,"1,2",36,,
