Nombre de panniers,Espèce,Famille,Nombre de distributions,Conso hebdo par pannier,Unité,stockable,mottes ou semis,Poids par pièce (g),Nombre de pièces par pied,Rendement germination,Rendement pousse et conservation,Délai avant retour (an),Intra rang (cm),Nombre de rangs retenus,Nb graines par pied,Conso hebdo par distrib,Total par pannier,Total à distribuer,Poids total à distribuer (kg),Production par pied (kg),Total à  produire (kg),Nombre de pieds,Nb pieds/m,Longueur de  rang totale (m),Nb pieds/m²,Longueur de  rang par livraison (m),Nombre de graines,Nb graines semis direct/m,Nb mottes,Nb mottes/m,Longueur de planche nécessaire (m),nb de planches standard,surface (m²),Volume alvéole (cm³),Volume total alvéoles (cm3),nombre d'alvéoles par plaque,Couleur,Rendement / calculs,Rendement théorique (kg/m²),Surface théorique nécessaire selon rendement (m²),prix/kg (€),montant sur l'année (€),montant sur l'année par panier (€),Période de distribution,Température idéale (°C),Hygrométrie idéale (%),avec
50,Ail,amaryllidacée,10,2,pièce,oui,semis,80,1,"0,9","0,95",4,15,6,1,100,20,1000,80,"0,08",,"1169,59064327485","6,66666666666667","175,438596491228",40,"17,5438596491228","1299,54515919428","7,40740740740741",0,0,"29,2397660818713","0,974658869395711","30,7017543859649",55,0,77,beige,"2,60571428571429",4,0,8,640,"12,8",juil / avril,,,
0,Artichaut,asteracée,5,0,pièce,non,mottes,250,5,"0,9","0,8",0,100,2,1,0,0,0,0,"1,25",,0,1,0,2,0,0,0,0,0,0,0,0,,0,,green,#DIV/0 !,1,0,6,0,0,été/automne,,,
50,Aubergine,solanacée,14,1,pièce,non,mottes,300,5,"0,9","0,8",4,60,2,1,50,14,700,210,"1,5",,175,"1,66666666666667",105,"3,33333333333333","7,49999999999998","194,444444444444",0,"194,444444444444","1,85185185185186","52,4999999999999","1,75","55,1249999999999",230,"44722,2222222222",24,darkMagenta,"3,80952380952382",4,0,"3,5",735,"14,7",juil / oct,25,55,"laitue, radis"
50,Betterave rouge,chénopodiacée,15,1,kg,oui,semis,150,1,"0,9","0,8",4,10,4,1,50,15,750,750,"0,15",,"6944,44444444444",10,"694,444444444444",40,"46,2962962962963","7716,04938271605","11,1111111111111",0,0,"173,611111111111","5,78703703703704","182,291666666667",,0,,darkred,"4,11428571428572","2,5",0,2,1500,30,janv / dec,,,
50,Blette,chénopodiacée,12,1,kg,non,mottes,1000,1,"0,9","0,9",4,40,3,3,50,12,600,600,1,,"666,666666666667","2,5","266,666666666667","7,5","22,2222222222222","2222,22222222222",0,"740,740740740741","2,77777777777778","88,8888888888889","2,96296296296296","93,3333333333333",55,"40740,7407407407",77,darkgreen,"6,42857142857143",6,0,3,1800,36,avril / oct,,,
50,Carotte de garde,apiacée,20,1,kg,oui,semis,110,1,"0,75","0,7",4,5,4,1,50,20,1000,1000,"0,11",,"17316,0173160173",20,"865,800865800866",80,"43,2900432900433","23088,0230880231","26,6666666666667",0,0,"216,450216450216","7,21500721500721","227,272727272727",,0,,orange,"4,4",3,0,2,2000,40,oct / avril,,,"haricot, laitue, oignon, pois, poireau, radis, salade"
50,Carotte primeur,apiacée,6,1,kg,non,semis,70,1,"0,75","0,9",4,5,4,1,50,6,300,300,"0,07",,"6349,20634920635",20,"317,460317460317",80,"52,9100529100529","8465,60846560846","26,6666666666667",0,0,"79,3650793650794","2,64550264550265","83,3333333333333",,0,,orange,"3,6","3,5",0,3,900,18,avril / mai,,,"haricot, laitue, oignon, pois, poireau, radis, salade"
50,Carotte saison,apiacée,4,1,kg,non,semis,90,1,"0,75","0,8",4,5,4,1,50,4,200,200,"0,09",,"3703,7037037037",20,"185,185185185185",80,"46,2962962962963","4938,27160493827","26,6666666666667",0,0,"46,2962962962963","1,54320987654321","48,6111111111111",,0,,orange,"4,11428571428572",3,0,2,400,8,juin / sept,,,"haricot, laitue, oignon, pois, poireau, radis, salade"
50,Céleri branche,apiacée,2,1,pièce,non,mottes,300,1,"0,9","0,9",5,40,3,1,50,2,100,30,"0,3",,"111,111111111111","2,5","44,4444444444444","7,5","22,2222222222222","123,456790123457",0,"123,456790123457","2,77777777777778","14,8148148148148","0,493827160493827","15,5555555555556",55,"6790,12345679012",77,LightGoldenRodYellow,"1,92857142857143",4,0,3,90,"1,8",juin / oct,,,"oignon, chou"
50,Céleri rave,apiacée,4,1,pièce,oui,mottes,500,1,"0,9","0,9",4,40,3,1,50,4,200,100,"0,5",,"222,222222222222","2,5","88,8888888888889","7,5","22,2222222222222","246,913580246914",0,"246,913580246914","2,77777777777778","29,6296296296296","0,987654320987654","31,1111111111111",55,"13580,2469135802",77,LightGoldenRodYellow,"3,21428571428571","2,5",0,3,300,6,oct / avril,,,
50,Chou blanc,brassicacée,3,1,pièce,oui,mottes,700,1,"0,9","0,9",4,60,2,1,50,3,150,105,"0,7",,"166,666666666667","1,66666666666667","99,9999999999998","3,33333333333333","33,3333333333333","185,185185185185",0,"185,185185185185","1,85185185185186","49,9999999999999","1,66666666666666","52,4999999999999",55,"10185,1851851852",77,yellow,2,"1,5",0,3,315,"6,3",juin / dec,,,
50,Chou brocoli,brassicacée,2,"0,5",pièce,non,mottes,250,2,"0,9","0,8",4,60,2,1,25,1,50,"12,5","0,5",,"31,25","1,66666666666667","18,75","3,33333333333333","9,37499999999998","34,7222222222222",0,"34,7222222222222","1,85185185185186","9,37499999999998","0,312499999999999","9,84374999999998",55,"1909,72222222222",77,greenyellow,"1,26984126984127","0,7",0,4,50,1,juil / nov,,,
50,Chou chinois,brassicacée,2,1,pièce,oui,mottes,800,1,"0,9","0,9",4,40,3,1,50,2,100,80,"0,8",,"111,111111111111","2,5","44,4444444444444","7,5","22,2222222222222","123,456790123457",0,"123,456790123457","2,77777777777778","14,8148148148148","0,493827160493827","15,5555555555556",55,"6790,12345679012",77,yellow,"5,14285714285714","1,5",0,3,240,"4,8",juin / dec,,,
50,Chou de milan,brassicacée,3,"0,5",pièce,non,mottes,800,1,"0,9","0,9",4,60,2,1,25,"1,5",75,60,"0,8",,"83,3333333333333","1,66666666666667","49,9999999999999","3,33333333333333","16,6666666666666","92,5925925925926",0,"92,5925925925926","1,85185185185186","24,9999999999999","0,833333333333332","26,2499999999999",55,"5092,59259259259",77,yellow,"2,28571428571429","1,5",0,3,180,"3,6",nov / mars,,,
50,Chou fleur,brassicacée,4,1,pièce,non,mottes,600,1,"0,9","0,9",4,60,2,1,50,4,200,120,"0,6",,"222,222222222222","1,66666666666667","133,333333333333","3,33333333333333","33,3333333333333","246,913580246914",0,"246,913580246914","1,85185185185186","66,6666666666665","2,22222222222222","69,9999999999998",55,"13580,2469135802",77,yellow,"1,71428571428572","1,5",0,4,480,"9,6",juil / dec,,,céleri rave
