,,,
,,,
,,,
,passe pied (cm),"0,4",
,planche (m),"1,2",
,,,
,nb planches,1,2
,,2,"3,6"
,,3,"5,2"
,,4,"6,8"
,,5,"8,4"
,,6,10
,,7,"11,6"
,,8,"13,2"
,,9,"14,8"
,,10,"16,4"
,,11,18
,,12,"19,6"
,,13,"21,2"
